41.119189843,29.058113132,1642413600
41.119189843,29.058542286,1642413605
41.119125183,29.059228931,1642413610
41.119028193,29.059701,1642413615
41.118931202,29.060044323,1642413620
41.118801882,29.06034473,1642413625
41.118737221,29.060559307,1642413630
41.11854324,29.06098846,1642413635
41.118349258,29.061331783,1642413640
41.118219936,29.061460529,1642413645
41.118058284,29.061675106,1642413650
41.1178643,29.061803852,1642413655
41.117217684,29.062147175,1642413660
41.117056029,29.062275921,1642413665
41.116894374,29.062533413,1642413670
41.11679738,29.062790905,1642413675
41.116765049,29.063005482,1642413680
41.116700387,29.063220058,1642413685
41.116603393,29.063434635,1642413690
41.116603393,29.063649212,1642413695
41.116700387,29.063863788,1642413700
41.116862043,29.06403545,1642413705
41.117185353,29.064207111,1642413710
41.117347008,29.064335857,1642413715
41.117476331,29.064464603,1642413720
41.117605654,29.064636265,1642413725
41.117702647,29.064850841,1642413730
41.117767308,29.065065418,1642413735
41.1178643,29.065279995,1642413740
41.117928961,29.065537487,1642413745
41.117961292,29.065752064,1642413750
41.118090614,29.066181217,1642413755
41.118219936,29.066696201,1642413760
41.118413919,29.067125355,1642413765
41.11851091,29.067297016,1642413770
41.118704891,29.067726169,1642413775
41.118801882,29.067897831,1642413780
41.118898872,29.068112408,1642413785
41.119157513,29.06845573,1642413790
41.119319163,29.068541561,1642413795
41.119448482,29.068670307,1642413800
41.119610131,29.068799053,1642413805
41.11973945,29.068927799,1642413810
41.119901098,29.06901363,1642413815
41.120062746,29.069142376,1642413820
41.120224394,29.069185291,1642413825
41.120321382,29.069228207,1642413830
